"","week_nr","cust","brand","format","category","regprice","discount","quantity","holiday"
"1",1,115,"E","hypermarket","z",34.2444714275189,15,2,1
"2",1,165,"E","convenience","z",25.1218894240446,0,1,1
"3",1,35,"D","convenience","z",41.717965726275,11,2,1
"4",1,200,"B","convenience","z",35.970795492176,5,2,1
"5",1,68,"C","hypermarket","z",18.961656242609,0,1,1
"6",1,158,"B","convenience","z",43.8786290539429,14,2,1
"7",1,17,"B","supermarket","z",44.1745407949202,10,2,1
"8",1,189,"C","hypermarket","z",43.4809430222958,0,1,1
"9",1,138,"A","supermarket","z",15.6860045576468,9,2,1
"10",1,287,"E","convenience","z",15.8304159273393,0,1,1
"11",1,147,"C","supermarket","z",39.8314408399165,0,1,1
"12",1,146,"B","convenience","z",24.9448968144134,0,1,1
"13",1,39,"A","convenience","z",31.1783256847411,2,2,1
"14",1,53,"A","supermarket","z",38.1329264980741,11,2,1
"15",1,192,"D","hypermarket","z",15.0711636501364,3,2,1
"16",1,193,"E","hypermarket","z",30.72734140791,12,2,1
"17",1,58,"C","supermarket","z",15.0137466704473,0,1,1
"18",1,283,"A","supermarket","z",33.9032498840243,0,1,1
"19",1,47,"A","convenience","z",19.920296240598,1,2,1
"20",1,71,"E","hypermarket","z",29.8365241521969,0,1,1
"21",1,85,"E","hypermarket","z",23.7484054779634,0,1,1
"22",1,97,"A","hypermarket","z",37.2357603348792,11,2,1
"23",1,197,"D","convenience","z",28.5333047294989,0,1,1
"24",1,132,"B","supermarket","z",19.2745838756673,0,1,1
"25",1,190,"D","supermarket","z",43.8694295170717,12,2,1
"26",1,73,"B","convenience","z",36.9751587091014,6,2,1
"27",1,125,"D","hypermarket","z",42.9891478037462,1,2,1
"28",1,26,"E","convenience","z",27.7375659509562,10,2,1
"29",1,277,"A","supermarket","z",37.4406168563291,0,1,1
"30",1,190,"D","hypermarket","z",22.2137403138913,1,2,1
"31",1,108,"C","convenience","z",37.8487405786291,0,1,1
"32",1,264,"C","supermarket","z",39.8854252416641,4,2,1
"33",1,239,"C","supermarket","z",36.5178758860566,8,2,1
"34",1,94,"A","supermarket","z",29.5912837609649,0,1,1
"35",2,61,"C","convenience","z",38.6284866300412,0,1,0
"36",2,158,"C","hypermarket","z",22.136851362884,3,2,0
"37",2,282,"B","hypermarket","z",39.5391032961197,5,2,0
"38",2,162,"E","supermarket","z",26.5731960022822,13,2,0
"39",2,4,"B","hypermarket","z",41.0804804088548,14,2,0
"40",2,232,"E","supermarket","z",34.928787171375,5,2,0
"41",2,9,"C","hypermarket","z",25.1283682999201,7,2,0
"42",2,112,"E","supermarket","z",29.2399675073102,4,2,0
"43",2,32,"D","convenience","z",23.2235676655546,0,1,0
"44",2,254,"D","hypermarket","z",24.5050196838565,3,2,0
"45",2,288,"E","supermarket","z",40.4242279403843,13,2,0
"46",2,195,"A","hypermarket","z",17.958861887455,12,2,0
"47",2,49,"C","hypermarket","z",36.9654771708883,0,1,0
"48",2,64,"D","hypermarket","z",44.0420785686001,4,2,0
"49",2,263,"A","hypermarket","z",34.2838868382387,0,1,0
"50",2,101,"D","supermarket","z",43.5132387187332,0,1,0
"51",2,144,"D","supermarket","z",37.2879858431406,5,2,0
"52",2,28,"D","hypermarket","z",15.6546434573829,0,1,0
"53",2,192,"E","convenience","z",28.700736220926,0,1,0
"54",2,203,"A","hypermarket","z",40.6456057727337,15,2,0
"55",2,163,"B","supermarket","z",37.0220204908401,10,2,0
"56",2,237,"E","convenience","z",19.2472953465767,4,2,0
"57",2,251,"E","convenience","z",41.9489083299413,0,1,0
"58",2,76,"D","hypermarket","z",41.5095132635906,15,2,0
"59",2,131,"C","hypermarket","z",20.1776575203985,0,1,0
"60",2,21,"C","supermarket","z",36.2100443174131,0,1,0
"61",2,156,"B","hypermarket","z",43.7264194758609,0,1,0
"62",2,262,"E","hypermarket","z",37.7785514993593,0,1,0
"63",2,10,"E","convenience","z",43.5212359973229,6,2,0
"64",2,164,"D","convenience","z",17.1789534157142,4,2,0
"65",2,40,"E","convenience","z",28.5417090822011,2,2,0
"66",2,270,"A","hypermarket","z",20.6087458133698,14,2,0
"67",2,121,"A","hypermarket","z",32.2769527416676,15,2,0
"68",2,59,"C","hypermarket","z",21.1698177759536,14,2,0
"69",2,264,"E","hypermarket","z",28.6477773659863,6,2,0
"70",2,62,"B","hypermarket","z",35.2873016428202,11,2,0
"71",2,151,"B","supermarket","z",33.6422341992147,8,2,0
"72",2,237,"A","supermarket","z",25.3261907072738,0,1,0
"73",2,219,"E","supermarket","z",43.9243275742047,12,2,0
"74",2,184,"E","convenience","z",15.2424711850472,0,1,0
"75",2,179,"B","supermarket","z",25.9722438175231,2,2,0
"76",2,267,"D","hypermarket","z",29.6109940647148,6,2,0
"77",2,244,"D","hypermarket","z",40.5687682586722,2,2,0
"78",2,258,"C","hypermarket","z",37.8541648155078,6,2,0
"79",2,165,"E","hypermarket","z",34.4003122695722,0,1,0
"80",2,168,"E","supermarket","z",40.6996487290598,12,2,0
"81",2,95,"D","supermarket","z",42.1379481512122,0,1,0
"82",2,86,"E","hypermarket","z",27.8495778841898,6,2,0
"83",2,160,"A","supermarket","z",17.0724307838827,0,1,0
"84",2,277,"D","supermarket","z",21.5937554254197,14,2,0
"85",3,193,"A","supermarket","z",30.5469666235149,0,1,1
"86",3,106,"D","supermarket","z",33.2268293970264,3,2,1
"87",3,286,"B","supermarket","z",42.0016659284011,7,2,1
"88",3,293,"E","hypermarket","z",19.2825850658119,6,2,1
"89",3,195,"E","supermarket","z",37.6961389300413,0,1,1
"90",3,180,"D","supermarket","z",28.7895091320388,0,1,1
"91",3,126,"D","convenience","z",30.0771770859137,6,2,1
"92",3,276,"B","supermarket","z",25.9161811158992,1,2,1
"93",3,244,"C","hypermarket","z",34.4017872679979,2,2,1
"94",3,25,"B","convenience","z",21.6214354871772,0,1,1
"95",3,290,"E","hypermarket","z",35.0479377759621,2,2,1
"96",3,75,"D","supermarket","z",24.6253273822367,15,2,1
"97",3,265,"C","convenience","z",16.9614258944057,0,1,1
"98",3,153,"C","convenience","z",40.5239646951668,11,2,1
"99",3,62,"B","convenience","z",41.3246713229455,15,2,1
"100",3,264,"A","convenience","z",42.6842506346293,0,1,1
"101",3,22,"B","convenience","z",29.0940283541568,14,2,1
"102",3,76,"C","hypermarket","z",24.2212672135793,6,2,1
"103",3,253,"C","hypermarket","z",27.096674151253,0,1,1
"104",3,33,"C","convenience","z",15.8880759472959,0,1,1
"105",3,294,"D","convenience","z",32.2424499155022,4,2,1
"106",3,246,"C","supermarket","z",35.3674617013894,0,1,1
"107",3,132,"C","hypermarket","z",41.052437229082,2,2,1
"108",3,20,"B","hypermarket","z",37.9623379488476,15,2,1
"109",3,277,"E","hypermarket","z",28.6375084589235,5,2,1
"110",3,200,"C","hypermarket","z",43.4850022313185,2,2,1
"111",3,203,"D","convenience","z",42.8958547557704,0,1,1
"112",3,76,"A","hypermarket","z",28.5189617983997,6,2,1
"113",3,32,"C","supermarket","z",19.9218314350583,7,2,1
"114",3,115,"C","supermarket","z",37.7411712985486,0,1,1
"115",3,136,"E","supermarket","z",41.566385992337,0,1,1
"116",3,261,"C","supermarket","z",36.1205679900013,11,2,1
"117",3,35,"A","convenience","z",34.2831375519745,0,1,1
"118",3,144,"C","supermarket","z",37.9110239795409,7,2,1
"119",3,46,"B","convenience","z",26.7025648453273,0,1,1
"120",3,70,"E","hypermarket","z",43.8576104608364,11,2,1
"121",3,272,"D","supermarket","z",30.7658215309493,8,2,1
"122",3,230,"A","convenience","z",30.1405385113321,10,2,1
"123",3,225,"C","hypermarket","z",42.5962018012069,0,1,1
"124",3,296,"B","convenience","z",39.6042079967447,0,1,1
"125",3,7,"E","hypermarket","z",40.5625403369777,0,1,1
"126",3,296,"E","supermarket","z",22.7030566823669,4,2,1
"127",4,136,"C","convenience","z",28.5151329590008,4,2,0
