"","week_nr","holiday","brand","format","totalvolume","totalvalue","LL","avgregprice","avgfinalprice","avgdiscount","depth","cop_avgregprice","cop_avgdiscount","cop_avgfinalprice","avgcompLL","avgcompregprice","avgcompfinalprice","avgcompdiscount","totalvolume1","totalvalue1","LL1","avgfinalprice1","avgregprice1","avgdiscount1","avgcompLL1","avgcompfinalprice1","avgcompregprice1","avgcompdiscount1","dtotalvolume","davgfinalprice","davgregprice","davgdiscount","dLL","davgcompLL","davgcompfinalprice","davgcompdiscount"
"1",2,0,"A","hypermarket",9,89.7740530534648,5,16.1971170059405,9.97489478371831,6.22222222222222,0.384156156922255,-0.721522283982343,1.90738625288398,-1.24872764523574,4.91666666666667,19.4032759423135,16.4032759423135,3,2,26.2357603348792,1,13.1178801674396,18.6178801674396,5.5,3.125,17.6599949682597,20.4599949682597,2.8,7,-3.14298538372129,-2.42076316149907,0.722222222222221,4,1.79166666666667,-1.25671902594623,0.2
"2",2,0,"A","supermarket",2,42.3986214911565,2,21.1993107455783,21.1993107455783,0,0,0.198884696021799,-0.82492923992224,0.55510399641475,4.91666666666667,19.4032759423135,16.4032759423135,3,7,134.754081557039,5,19.250583079577,22.1077259367199,2.85714285714286,3.125,17.6599949682597,20.4599949682597,2.8,-5,1.94872766600123,-0.908415191141632,-2.85714285714286,-3,1.79166666666667,-1.25671902594623,0.2
"3",3,1,"A","convenience",4,97.1079266979359,3,26.776981674484,24.276981674484,2.5,0.0933637715554129,1.06459592753594,0.0560598638374478,0.901996318250003,4.28333333333333,20.1582119789673,17.424878645634,2.73333333333333,4,48.0986219253391,2,12.0246554813348,12.7746554813348,0.75,3.125,17.6599949682597,20.4599949682597,2.8,0,12.2523261931492,14.0023261931492,1.75,1,1.15833333333333,-0.235116322625739,-0.0666666666666664
"4",3,1,"A","hypermarket",2,22.5189617983997,1,14.2594808991999,11.2594808991999,3,0.210386340232648,-1.14040491284496,0.271661440044389,-1.0139885093227,4.28333333333333,20.1582119789673,17.424878645634,2.73333333333333,9,89.7740530534648,5,9.97489478371831,16.1971170059405,6.22222222222222,4.91666666666667,16.4032759423135,19.4032759423135,3,-7,1.28458611548154,-1.93763610674068,-3.22222222222222,-4,-0.633333333333333,1.02160270332049,-0.266666666666666
"5",3,1,"A","supermarket",1,30.5469666235149,1,30.5469666235149,30.5469666235149,0,0,1.40507156030963,-0.82492923992224,1.40507156030963,4.28333333333333,20.1582119789673,17.424878645634,2.73333333333333,2,42.3986214911565,2,21.1993107455783,21.1993107455783,0,4.91666666666667,16.4032759423135,19.4032759423135,3,-1,9.34765587793665,9.34765587793665,0,-1,-0.633333333333333,1.02160270332049,-0.266666666666666
"6",4,0,"A","convenience",3,34.2368771745823,2,12.4122923915274,11.4122923915274,1,0.0805652951490729,-1.48906372753663,-0.568918036256041,-0.994457883209753,3.14285714285714,19.7117531219288,17.7525694484594,1.95918367346939,4,97.1079266979359,3,24.276981674484,26.776981674484,2.5,4.28333333333333,17.424878645634,20.1582119789673,2.73333333333333,-1,-12.8646892829565,-14.3646892829565,-1.5,-1,-1.14047619047619,0.327690802825465,-0.774149659863946
"7",4,0,"A","hypermarket",6,81.9283400424756,3,18.1547233404126,13.6547233404126,4.5,0.247869378983207,-0.352176523131336,1.06459592753594,-0.582841507271216,3.14285714285714,19.7117531219288,17.7525694484594,1.95918367346939,2,22.5189617983997,1,11.2594808991999,14.2594808991999,3,4.28333333333333,17.424878645634,20.1582119789673,2.73333333333333,4,2.39524244121275,3.89524244121275,1.5,2,-1.14047619047619,0.327690802825465,-0.774149659863946
"8",4,0,"A","supermarket",1,30.6870236853138,1,30.6870236853138,30.6870236853138,0,0,1.42107788745076,-0.82492923992224,1.42107788745076,3.14285714285714,19.7117531219288,17.7525694484594,1.95918367346939,1,30.5469666235149,1,30.5469666235149,30.5469666235149,0,4.28333333333333,17.424878645634,20.1582119789673,2.73333333333333,0,0.140057061798899,0.140057061798899,0,0,-1.14047619047619,0.327690802825465,-0.774149659863946
"9",5,1,"A","convenience",2,39.2360428883694,2,19.6180214441847,19.6180214441847,0,0,-0.0501535834647337,-0.82492923992224,0.320967138445186,3.19444444444444,20.6363160626885,18.6085382849107,2.02777777777778,3,34.2368771745823,2,11.4122923915274,12.4122923915274,1,3.14285714285714,17.7525694484594,19.7117531219288,1.95918367346939,-1,8.20572905265727,7.20572905265727,-1,0,0.0515873015873014,0.8559688364513,0.06859410430839
"10",5,1,"A","hypermarket",1,19.6505106124096,1,19.6505106124096,19.6505106124096,0,0,-0.0383460631305329,-0.82492923992224,0.327183087539234,3.19444444444444,20.6363160626885,18.6085382849107,2.02777777777778,6,81.9283400424756,3,13.6547233404126,18.1547233404126,4.5,3.14285714285714,17.7525694484594,19.7117531219288,1.95918367346939,-5,5.995787271997,1.495787271997,-4.5,-2,0.0515873015873014,0.8559688364513,0.06859410430839
